id,collection_id,task_id,name,category,description,concept_id,count,q1,q3,min,max,mean,median,created_at,updated_at
1,2,3,SEX,DEMOGRAPHICS,Sex,0.0,400000,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
2,2,3,Male,DEMOGRAPHICS,Male,,191720,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
3,2,3,Female,DEMOGRAPHICS,Female,,208280,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
4,2,3,GENOMICS,DEMOGRAPHICS,Genomics,0.0,400000,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
5,2,3,No,DEMOGRAPHICS,No,,400000,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
6,3,5,SEX,DEMOGRAPHICS,Sex,0.0,2345760,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
7,3,5,Male,DEMOGRAPHICS,Male,,658110,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
8,3,5,Female,DEMOGRAPHICS,Female,,1687650,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
9,3,5,GENOMICS,DEMOGRAPHICS,Genomics,0.0,2345760,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
10,4,7,SEX,DEMOGRAPHICS,Sex,0.0,325230,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
11,3,5,No,DEMOGRAPHICS,No,,2345760,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
12,4,7,Male,DEMOGRAPHICS,Male,,172570,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
13,4,7,Female,DEMOGRAPHICS,Female,,152660,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
14,4,7,GENOMICS,DEMOGRAPHICS,Genomics,0.0,325230,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
15,4,7,No,DEMOGRAPHICS,No,,325230,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
16,1,1,SEX,DEMOGRAPHICS,Sex,0.0,21200,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
17,1,1,Male,DEMOGRAPHICS,Male,,10270,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
18,1,1,Female,DEMOGRAPHICS,Female,,10930,,,,,,,2025-09-26 13:56:17,2025-09-26 13:56:17
19,1,1,GENOMICS,DEMOGRAPHICS,Genomics,0.0,21200,,,,,,,2025-09-26 13:56:17,2025-09-26 13:56:17
20,1,1,No,DEMOGRAPHICS,No,,21200,,,,,,,2025-09-26 13:56:17,2025-09-26 13:56:17
21,2,4,262,Condition,Emergency Room and Inpatient Visit,262.0,40170,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
22,2,4,192279,Condition,Disorder of kidney due to diabetes mellitus,192279.0,15850,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
23,2,4,192671,Condition,Gastrointestinal hemorrhage,192671.0,36180,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
24,2,4,193782,Condition,End-stage renal disease,193782.0,3900,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
25,2,4,195771,Condition,Secondary diabetes mellitus,195771.0,10090,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
26,2,4,198185,Condition,Chronic renal failure,198185.0,48000,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
27,2,4,201826,Condition,Type 2 diabetes mellitus,201826.0,55770,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
28,2,4,254761,Condition,Cough,254761.0,47650,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
29,2,4,255573,Condition,Chronic obstructive pulmonary disease,255573.0,140100,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
30,2,4,316866,Condition,Hypertensive disorder,316866.0,112070,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
31,2,4,317009,Condition,Asthma,317009.0,63620,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
32,2,4,319049,Condition,Acute respiratory failure,319049.0,20340,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
33,2,4,319835,Condition,Congestive heart failure,319835.0,47730,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
34,2,4,321588,Condition,Heart disease,321588.0,31940,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
35,2,4,375557,Condition,Cerebral embolism,375557.0,20120,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
36,2,4,433736,Condition,Obesity,433736.0,71800,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
37,2,4,436409,Condition,Abnormal pupil,436409.0,64050,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
38,2,4,441840,Condition,Clinical finding,441840.0,80090,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
39,2,4,443597,Condition,Chronic kidney disease stage 3,443597.0,23910,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
40,2,4,443611,Condition,Chronic kidney disease stage 5,443611.0,4770,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
41,2,4,443612,Condition,Chronic kidney disease stage 4,443612.0,9960,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
42,2,4,443883,Condition,Acute disease,443883.0,36170,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
43,2,4,443961,Condition,Anemia of chronic renal failure,443961.0,12080,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
44,2,4,444100,Condition,Mood disorder,444100.0,11780,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
45,1,2,193782,Condition,End-stage renal disease,193782.0,1680,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
46,2,4,4013072,Condition,O/E: inspection of blood NOS,4013072.0,24260,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
47,2,4,4112349,Condition,Acute ulcerative laryngitis,4112349.0,111990,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
48,1,2,198185,Condition,Chronic renal failure,198185.0,12770,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
49,1,2,443597,Condition,Chronic kidney disease stage 3,443597.0,5190,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
50,1,2,443601,Condition,Chronic kidney disease stage 2,443601.0,1710,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
51,1,2,443611,Condition,Chronic kidney disease stage 5,443611.0,2070,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
52,1,2,443612,Condition,Chronic kidney disease stage 4,443612.0,3150,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
53,2,4,4182210,Condition,Dementia,4182210.0,87810,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
54,2,4,36684857,Condition,Metastatic non-small cell lung cancer,36684857.0,2040,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
55,1,2,443614,Condition,Chronic kidney disease stage 1,443614.0,1050,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
56,1,2,443961,Condition,Anemia of chronic renal failure,443961.0,1050,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
57,1,2,601163,Condition,Chronic kidney disease stage 3 due to drug induced diabetes mellitus,601163.0,210,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
58,1,2,762001,Condition,Benign hypertensive heart disease and chronic renal disease stage 3,762001.0,160,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
59,2,4,36712854,Condition,Down syndrome detected by multiple marker screening,36712854.0,23890,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
60,1,2,762033,Condition,Malignant hypertensive heart disease and chronic renal disease stage 3,762033.0,70,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
61,2,4,40480290,Condition,Goldendoodle,40480290.0,64020,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
62,1,2,1075888,Condition,Hypertension in chronic kidney disease stage 3 due to type 1 diabetes mellitus,1075888.0,130,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
63,2,4,40484648,Condition,Uncontrolled type 1 diabetes mellitus,40484648.0,71810,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
64,2,4,45757363,Condition,Hypoglycemia due to type 2 diabetes mellitus,45757363.0,48090,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
65,2,4,0,Ethnicity,No matching concept,0.0,400000,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
66,2,4,8507,Gender,MALE,8507.0,191720,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
67,2,4,8532,Gender,FEMALE,8532.0,208280,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
68,1,2,1075908,Condition,Chronic kidney disease stage 3B due to type 2 diabetes mellitus,1075908.0,230,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
69,2,4,0,Race,No matching concept,0.0,400000,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
70,1,2,1075909,Condition,Chronic kidney disease stage 3A due to type 2 diabetes mellitus,1075909.0,200,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
71,1,2,1075910,Condition,Chronic kidney disease stage 3B due to type 1 diabetes mellitus,1075910.0,170,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
72,1,2,1075911,Condition,Chronic kidney disease stage 3A due to type 1 diabetes mellitus,1075911.0,180,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
73,1,2,36716184,Condition,Chronic kidney disease following donor nephrectomy,36716184.0,90,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
74,1,2,36716455,Condition,Chronic kidney disease due to traumatic loss of kidney,36716455.0,60,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
75,1,2,36716947,Condition,Chronic renal insufficiency,36716947.0,860,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
76,1,2,36717349,Condition,Chronic kidney disease due to systemic infection,36717349.0,90,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
77,1,2,36717534,Condition,Chronic kidney disease due to and following excision of neoplasm of kidney,36717534.0,60,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
78,1,2,37017104,Condition,Chronic kidney disease mineral and bone disorder,37017104.0,230,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
79,1,2,37017813,Condition,Chronic kidney disease stage 5 on dialysis,37017813.0,1100,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
80,1,2,37018761,Condition,Chronic kidney disease stage 5 with transplant,37018761.0,440,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
81,1,2,37019193,Condition,Anemia co-occurrent and due to chronic kidney disease stage 3,37019193.0,410,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
82,1,2,43020456,Condition,Malignant hypertensive chronic kidney disease stage 3,43020456.0,120,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
83,1,2,43021835,Condition,Hypertensive heart AND chronic kidney disease stage 3,43021835.0,210,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
84,4,8,262,Condition,Emergency Room and Inpatient Visit,262.0,25780,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
85,4,8,192279,Condition,Disorder of kidney due to diabetes mellitus,192279.0,9820,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
86,1,2,43531578,Condition,Chronic kidney disease due to type 2 diabetes mellitus,43531578.0,830,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
87,4,8,192671,Condition,Gastrointestinal hemorrhage,192671.0,22650,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
88,1,2,43531653,Condition,Chronic kidney disease stage 3 due to type 2 diabetes mellitus,43531653.0,620,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
89,4,8,193782,Condition,End-stage renal disease,193782.0,2620,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
90,4,8,195771,Condition,Secondary diabetes mellitus,195771.0,6460,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
91,4,8,198185,Condition,Chronic renal failure,198185.0,32380,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
92,1,2,44782429,Condition,Chronic kidney disease due to hypertension,44782429.0,830,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
93,4,8,201826,Condition,Type 2 diabetes mellitus,201826.0,39000,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
94,1,2,44782691,Condition,Chronic kidney disease stage 3 due to hypertension,44782691.0,660,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
95,4,8,254761,Condition,Cough,254761.0,32660,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
96,1,2,44792230,Condition,Chronic kidney disease stage 3 with proteinuria,44792230.0,780,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
97,4,8,255573,Condition,Chronic obstructive pulmonary disease,255573.0,91210,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
98,4,8,316866,Condition,Hypertensive disorder,316866.0,71310,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
99,1,2,44792231,Condition,Chronic kidney disease stage 3 without proteinuria,44792231.0,790,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
100,4,8,317009,Condition,Asthma,317009.0,39090,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
101,1,2,44792232,Condition,Chronic kidney disease stage 3A with proteinuria,44792232.0,630,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
102,1,2,44792249,Condition,Chronic kidney disease stage 3A without proteinuria,44792249.0,640,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
103,4,8,319049,Condition,Acute respiratory failure,319049.0,12930,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
104,1,2,44792250,Condition,Chronic kidney disease stage 3B with proteinuria,44792250.0,630,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
105,4,8,319835,Condition,Congestive heart failure,319835.0,32340,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
106,4,8,321588,Condition,Heart disease,321588.0,19630,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
107,1,2,44792251,Condition,Chronic kidney disease stage 3B without proteinuria,44792251.0,660,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
108,4,8,375557,Condition,Cerebral embolism,375557.0,9700,,,,,,,2025-09-26 13:56:27,2025-09-26 13:56:27
109,1,2,44792252,Condition,Chronic kidney disease stage 4 with proteinuria,44792252.0,620,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
110,4,8,433736,Condition,Obesity,433736.0,45540,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
111,1,2,44792253,Condition,Chronic kidney disease stage 4 without proteinuria,44792253.0,610,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
112,1,2,44792254,Condition,Chronic kidney disease stage 5 with proteinuria,44792254.0,440,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
113,4,8,436409,Condition,Abnormal pupil,436409.0,38990,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
114,4,8,441840,Condition,Clinical finding,441840.0,52300,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
115,1,2,44792255,Condition,Chronic kidney disease stage 5 without proteinuria,44792255.0,420,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
116,4,8,443597,Condition,Chronic kidney disease stage 3,443597.0,16470,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
117,1,2,45757446,Condition,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,45757446.0,130,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
118,4,8,443611,Condition,Chronic kidney disease stage 5,443611.0,3260,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
119,1,2,45763854,Condition,Chronic kidney disease stage 3A,45763854.0,1300,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
120,1,2,45763855,Condition,Chronic kidney disease stage 3B,45763855.0,1270,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
121,1,2,45771075,Condition,Chronic kidney disease stage 3 due to type 1 diabetes mellitus,45771075.0,200,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
122,4,8,443612,Condition,Chronic kidney disease stage 4,443612.0,6460,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
123,1,2,45773688,Condition,Chronic kidney disease due to type 1 diabetes mellitus,45773688.0,210,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
124,4,8,443883,Condition,Acute disease,443883.0,22990,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
125,1,2,46273636,Condition,Chronic kidney disease stage 3 due to benign hypertension,46273636.0,130,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
126,1,2,0,Ethnicity,No matching concept,0.0,21200,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
127,4,8,443961,Condition,Anemia of chronic renal failure,443961.0,6570,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
128,4,8,444100,Condition,Mood disorder,444100.0,6640,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
129,1,2,3955320,Drug,Moderna - SARS-CoV-2 (COVID-19) vaccine,3955320.0,5300,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
130,4,8,4013072,Condition,O/E: inspection of blood NOS,4013072.0,16270,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
131,1,2,3955321,Drug,Pfizer - SARS-CoV-2 (COVID-19) vaccine,3955321.0,9510,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
132,4,8,4112349,Condition,Acute ulcerative laryngitis,4112349.0,71340,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
133,1,2,3955322,Drug,"Oxford, AstraZeneca - SARS-CoV-2 (COVID-19) vaccine AZD1222",3955322.0,6440,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
134,1,2,8507,Gender,MALE,8507.0,10270,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
135,1,2,8532,Gender,FEMALE,8532.0,10930,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
136,4,8,4182210,Condition,Dementia,4182210.0,58550,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
137,1,2,0,Race,No matching concept,0.0,21200,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
138,4,8,36684857,Condition,Metastatic non-small cell lung cancer,36684857.0,1340,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
139,1,2,3955297,Measurement,SARS-CoV-2 IgA antibody detection result positive,3955297.0,5280,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
140,1,2,3955300,Measurement,SARS-CoV-2 IgM antibody detection result positive,3955300.0,6420,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
141,4,8,36712854,Condition,Down syndrome detected by multiple marker screening,36712854.0,16200,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
142,1,2,3955313,Measurement,SARS-CoV-2 antibody to nucleocapsid (N) protein present,3955313.0,10490,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
143,3,6,254761,Condition,Cough,254761.0,584630,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
144,4,8,40480290,Condition,Goldendoodle,40480290.0,39050,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
145,4,8,40484648,Condition,Uncontrolled type 1 diabetes mellitus,40484648.0,48890,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
146,3,6,378253,Condition,Headache,378253.0,703170,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
147,1,2,3955314,Measurement,SARS-CoV-2 antibody to spike (S) protein present,3955314.0,14870,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
148,4,8,45757363,Condition,Hypoglycemia due to type 2 diabetes mellitus,45757363.0,32620,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
149,3,6,3959287,Condition,Long Covid-19,3959287.0,140610,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
150,3,6,4147326,Condition,Sore throat,4147326.0,469590,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
151,4,8,0,Ethnicity,No matching concept,0.0,325240,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
152,3,6,0,Ethnicity,No matching concept,0.0,2345760,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
153,4,8,3955320,Drug,Moderna - SARS-CoV-2 (COVID-19) vaccine,3955320.0,65280,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
154,3,6,3955320,Drug,Moderna - SARS-CoV-2 (COVID-19) vaccine,3955320.0,469080,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
155,4,8,3955321,Drug,Pfizer - SARS-CoV-2 (COVID-19) vaccine,3955321.0,97230,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
156,3,6,3955321,Drug,Pfizer - SARS-CoV-2 (COVID-19) vaccine,3955321.0,820740,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
157,4,8,3955322,Drug,"Oxford, AstraZeneca - SARS-CoV-2 (COVID-19) vaccine AZD1222",3955322.0,32360,,,,,,,2025-09-26 13:56:28,2025-09-26 13:56:28
158,3,6,3955322,Drug,"Oxford, AstraZeneca - SARS-CoV-2 (COVID-19) vaccine AZD1222",3955322.0,234560,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
159,4,8,8507,Gender,MALE,8507.0,172570,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
160,3,6,8507,Gender,MALE,8507.0,658110,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
161,4,8,8532,Gender,FEMALE,8532.0,152660,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
162,4,8,0,Race,No matching concept,0.0,325240,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
163,3,6,8532,Gender,FEMALE,8532.0,1687650,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
164,4,8,3955297,Measurement,SARS-CoV-2 IgA antibody detection result positive,3955297.0,113850,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
165,3,6,0,Race,No matching concept,0.0,2345760,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
166,3,6,45770687,Measurement,Coronavirus RNA (ribonucleic acid) detection assay,45770687.0,1524810,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
167,4,8,3955300,Measurement,SARS-CoV-2 IgM antibody detection result positive,3955300.0,97340,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
168,3,6,3959231,Observation,Close contact with confirmed COVID-19 case person/patient,3959231.0,421940,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
169,4,8,3955313,Measurement,SARS-CoV-2 antibody to nucleocapsid (N) protein present,3955313.0,146540,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
170,4,8,3955314,Measurement,SARS-CoV-2 antibody to spike (S) protein present,3955314.0,227560,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
171,4,8,3959231,Observation,Close contact with confirmed COVID-19 case person/patient,3959231.0,58600,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
172,4,8,37310268,Observation,Suspected COVID-19,37310268.0,81160,,,,,,,2025-09-26 13:56:29,2025-09-26 13:56:29
